name,date
SAMN30789493,2022-09
SAMN30797826,2022-09
SAMN30797824,2022-09
SAMN30797859,2022-09
SAMN30797863,2022-09
SAMN30797845,2022-09
SAMN30797852,2022-09
SAMN30797853,2022-09
SAMN30797869,2022-09
SAMN30797877,2022-09
SAMN30797890,2022-09
SAMN30797884,2022-09
SAMN30797896,2022-09
SAMN30797900,2022-09
SAMN30797894,2022-09
SAMN30797939,2022-09
SAMN30797945,2022-09
SAMN30797944,2022-09
SAMN30797995,2022-09
SAMN30797996,2022-09
SAMN30822858,2022-08-10
SAMN30822857,2022-08-10
SAMN30822856,2022-08-08
SAMN30822854,2022-08-05
SAMN30822874,2022-08-15
SAMN30822872,2022-08-08
SAMN30822853,2022-08-04
SAMN30822863,2022-08-09
SAMN30822862,2022-08-09
SAMN30899945,2022-09
SAMN30899952,2022-09
SAMN30899963,2022-09
SAMN30899983,2022-09
SAMN30899989,2022-09
SAMN30899973,2022-09
SAMN30900000,2022-09
SAMN30900025,2022-09
SAMN30900023,2022-09
SAMN30900021,2022-09
SAMN30900035,2022-09
SAMN30900030,2022-09
SAMN30900330,2022-09
SAMN30914781,2022-09
SAMN30914790,2022-09
SAMN30914788,2022-09
SAMN30914775,2022-09
SAMN30914798,2022-09
SAMN30914806,2022-09
SAMN30914815,2022-09
SAMN30914820,2022-09
SAMN30914822,2022-09
SAMN30914816,2022-09
SAMN30914834,2022-09
SAMN30914829,2022-09
SAMN30926918,2022-09
SAMN30926907,2022-09
SAMN30926963,2022-09
SAMN30926968,2022-09
SAMN30926971,2022-09
SAMN30927250,2022-09
SAMN30936763,2022-09
SAMN30954130,2022-09-06
SAMN30964234,2022-09
SAMN03651611,2009-09-30
SAMN31186862,2022-09
SAMN31216098,2022-10
SAMN31243474,2022-10
SAMN31289005,2022-10
SAMN31168198,2022-09
SAMN31140792,2022-09
SAMN31141278,2022-09
SAMN31141264,2022-09
SAMN31141357,2022-09
SAMN31186954,2022-09
SAMN31208966,2022-09
SAMN31186980,2022-09
SAMN31140765,2022-09
SAMN31275261,2022-10
SAMN31168167,2022-09
SAMN31289034,2022-10
SAMN31168195,2022-09
SAMN31141316,2022-09
SAMN31168212,2022-09
SAMN31141334,2022-09
SAMN31186973,2022-09
SAMN31141377,2022-09
SAMN31140768,2022-09
SAMN31141258,2022-09
SAMN31141332,2022-09
SAMN31140828,2022-09
SAMN31208991,2022-09
SAMN31141361,2022-09
SAMN31141362,2022-09
SAMN31368137,2022-10
SAMN31407513,2022-10
SAMN31407516,2022-10
SAMN31407525,2022-10
SAMN31415631,2022-10
SAMN31576908,2022-10
SAMN31611973,2022-10
SAMN31671743,2022-11
SAMN31671799,2022-11
SAMN31697119,2022-11
SAMN31697124,2022-11
SAMN31697121,2022-11
SAMN31697133,2022-11
SAMN31759352,2022-11
SAMN31759356,2022-11
SAMN31774954,2022-11
SAMN31801488,2022-11
SAMN31865225,2022-11
SAMN31865247,2022-11
SAMN31881547,2022-11
SAMN31881544,2022-11
SAMN32025457,2022-11
SAMN32251722,2022-12
SAMN32251730,2022-12
SAMN32277629,2022-12
SAMN32277612,2022-12
SAMN32277580,2022-12
SAMN32333198,2022-12
SAMD00495875,2013-10-21
SAMD00495888,2013-09-05
SAMD00495890,2014-05-19
SAMD00495891,2014-05-31
SAMD00495895,2014-03-27
SAMD00495896,2014-07-04
SAMD00495901,2014-06-19
SAMD00495909,2014-07-18
SAMD00495912,2014-09-05
SAMD00495914,2014-08-11
SAMD00495916,2014-09-11
SAMD00495917,2014-08-31
SAMD00495919,2014-10-06
SAMD00495923,2014-08-02
SAMD00495934,2014-10-28
SAMD00495937,2013-08-24
SAMD00495941,2015-08-12
SAMD00495942,2014-06-01
SAMD00495944,2015-10-02
SAMD00495945,2015-06-28
SAMD00495947,2015-11-27
SAMD00495951,2016-05-20
SAMD00495957,2016-06-10
SAMD00495960,2016-07-05
SAMD00495961,2016-07-27
SAMD00495963,2016-06-29
SAMD00495972,2016-09-13
SAMD00495973,2016-09-26
SAMD00495974,2016-09-15
SAMD00495976,2016-08-25
SAMD00495977,2016-09-20
SAMD00495978,2016-10-11
SAMD00495980,2016-10-08
SAMD00495981,2016-10-22
