sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy
SAMN09214239,SRR7172068,2018-04,2018-03-31,2018-04-30,United Kingdom: United Kingdom,526170,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN09266788,SRR7221220,2017-06,2017-05-31,2017-06-30,United Kingdom: United Kingdom,381347,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN09266932,SRR7221238,2017-02,2017-02-01,2017-02-28,United Kingdom: United Kingdom,342556,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN09266983,SRR7221281,2017-11,2017-11-01,2017-11-30,United Kingdom: United Kingdom,452005,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN09268874,SRR7223152,2017-05,2017-04-30,2017-05-31,United Kingdom: United Kingdom,370024,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN09457611,SRR7367395,2017-03,2017-03-01,2017-03-31,United Kingdom: United Kingdom,349287,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN09458008,SRR7367433,2017-03,2017-03-01,2017-03-31,United Kingdom: United Kingdom,348787,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN09457760,SRR7367463,2017-09,2017-08-31,2017-09-30,United Kingdom: United Kingdom,418259,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN09462840,SRR7401619,2017-07,2017-06-30,2017-07-31,United Kingdom: United Kingdom,388706,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN09462909,SRR7401695,2016-11,2016-11-01,2016-11-30,United Kingdom: United Kingdom,321053,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN09464713,SRR7403817,missing,,,USA,PNUSAE014866,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN30953100,SRR21661942,missing,,,USA,PNUSAE114821,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN30953176,SRR21662336,2022-09,2022-08-31,2022-09-30,United Kingdom: United Kingdom,1707147,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN33310476,SRR23473088,missing,,,USA,PNUSAE127508,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33965467,SRR24005237,2023,2023-01-01,2023-12-31,USA,PNUSAE130819,missing,ILLUMINA,Illumina MiSeq,WGS
