,sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read,clade
1177,SAMN12731373,SRR10147614,2009-04-02,2009-04-01,2009-04-02,Canada: Ontario,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2009,04,02,,,False,Clade C1
1178,SAMN12731376,SRR10147616,2009-03-03,2009-03-03,2009-03-03,Canada: British Columbia,,urine,ILLUMINA,Illumina MiSeq,WGS,2009,03,03,,,False,Clade C1
1179,SAMN12731390,SRR10153065,2009-02-01,2009-02-01,2009-02-01,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2009,02,01,,,False,Clade C1
1180,SAMN12731384,SRR10153066,2009-06-18,2009-06-17,2009-06-18,Canada: Nova Scotia,,urine,ILLUMINA,Illumina MiSeq,WGS,2009,06,18,,,False,Clade C1
1181,SAMN12731396,SRR10153067,2009-08-08,2009-08-07,2009-08-08,Canada: Alberta,,blood,ILLUMINA,Illumina MiSeq,WGS,2009,08,08,,,False,Clade C1
1182,SAMN12731381,SRR10153073,2009-01-03,2009-01-03,2009-01-03,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2009,01,03,,,False,Clade C1
1183,SAMN12731392,SRR10153074,2009-06-17,2009-06-16,2009-06-17,Canada: Nova Scotia,,wound,ILLUMINA,Illumina MiSeq,WGS,2009,06,17,,,False,Clade C1
1184,SAMN12731405,SRR10155245,2009-08-01,2009-07-31,2009-08-01,Canada: British Columbia,,blood,ILLUMINA,Illumina MiSeq,WGS,2009,08,01,,,False,Clade C1
1185,SAMN12731423,SRR10163888,2010-01-04,2010-01-04,2010-01-04,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2010,01,04,,,False,Unassigned
1186,SAMN12731417,SRR10163894,2010-01-02,2010-01-02,2010-01-02,Canada: Quebec,,wound,ILLUMINA,Illumina MiSeq,WGS,2010,01,02,,,False,Clade C1
1187,SAMN12731426,SRR10163895,2010-01-14,2010-01-14,2010-01-14,Canada: Quebec,,blood,ILLUMINA,Illumina MiSeq,WGS,2010,01,14,,,False,Clade C1
1188,SAMN12731422,SRR10163896,2010-01-03,2010-01-03,2010-01-03,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2010,01,03,,,False,Clade C1
1189,SAMN12731436,SRR10168047,2010-08-01,2010-07-31,2010-08-01,Canada: New Brunswick,,blood,ILLUMINA,Illumina MiSeq,WGS,2010,08,01,,,False,Clade C1
1190,SAMN12731428,SRR10168049,2010-01-06,2010-01-06,2010-01-06,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2010,01,06,,,False,Clade C1
1191,SAMN12731430,SRR10168051,2010-04-05,2010-04-04,2010-04-05,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2010,04,05,,,False,Clade C1
1192,SAMN12731434,SRR10168054,2010-01-15,2010-01-15,2010-01-15,Canada: Nova Scotia,,urine,ILLUMINA,Illumina MiSeq,WGS,2010,01,15,,,False,Clade C1
1193,SAMN12731453,SRR10173682,2011-03-04,2011-03-04,2011-03-04,Canada: British Columbia,,blood,ILLUMINA,Illumina MiSeq,WGS,2011,03,04,,,False,Clade C1
1194,SAMN12731451,SRR10173688,2011-01-12,2011-01-12,2011-01-12,Canada: British Columbia,,urine,ILLUMINA,Illumina MiSeq,WGS,2011,01,12,,,False,Clade C1
1195,SAMN12731461,SRR10175913,2011-02-05,2011-02-05,2011-02-05,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2011,02,05,,,False,Clade B0
1196,SAMN12731468,SRR10203582,2011-01-09,2011-01-09,2011-01-09,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2011,01,09,,,False,Clade C1
1197,SAMN12731473,SRR10203585,2011-01-10,2011-01-10,2011-01-10,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2011,01,10,,,False,Clade C1
1198,SAMN12731492,SRR10207193,2012-01-16,2012-01-16,2012-01-16,Canada: Ontario,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2012,01,16,,,False,Unassigned
1199,SAMN12731483,SRR10207196,2011-10-06,2011-10-05,2011-10-06,Canada: Quebec,,blood,ILLUMINA,Illumina MiSeq,WGS,2011,10,06,,,False,Clade C1
1200,SAMN12731494,SRR10207197,2012-01-20,2012-01-20,2012-01-20,Canada: Alberta,,urine,ILLUMINA,Illumina MiSeq,WGS,2012,01,20,,,False,Clade C1
1201,SAMN16663475,SRR13000483,2019-03-02,2019-03-02,2019-03-02,Nigeria,NHA002,blood,ILLUMINA,Illumina MiSeq,WGS,2019,03,02,,,False,Clade C1
1202,SAMN16663506,SRR13000498,2019-11-09,2019-11-09,2019-11-09,Nigeria,NHA033,blood,ILLUMINA,Illumina MiSeq,WGS,2019,11,09,,,False,Clade C1
1203,SAMN16663505,SRR13000499,2019-07-18,2019-07-17,2019-07-18,Nigeria,NHA032,blood,ILLUMINA,Illumina MiSeq,WGS,2019,07,18,,,False,Clade C1
1204,SAMN16663503,SRR13000502,2020-08-16,2020-08-15,2020-08-16,Nigeria,NHA030,urine,ILLUMINA,Illumina MiSeq,WGS,2020,08,16,,,False,Clade C1
1205,SAMN16663495,SRR13000510,2019-07-18,2019-07-17,2019-07-18,Nigeria,NHA022,blood,ILLUMINA,Illumina MiSeq,WGS,2019,07,18,,,False,Clade C1
1206,SAMN16663494,SRR13000511,2020-04-16,2020-04-15,2020-04-16,Nigeria,NHA021,blood,ILLUMINA,Illumina MiSeq,WGS,2020,04,16,,,False,Clade C1
1207,SAMN16663476,SRR13000512,2020-04-16,2020-04-15,2020-04-16,Nigeria,NHA003,blood,ILLUMINA,Illumina MiSeq,WGS,2020,04,16,,,False,Clade C1
1208,SAMN16663489,SRR13000517,2020-05-02,2020-05-01,2020-05-02,Nigeria,NHA016,endocervical,ILLUMINA,Illumina MiSeq,WGS,2020,05,02,,,False,Clade C1
1209,SAMN16663487,SRR13000519,2019-11-09,2019-11-09,2019-11-09,Nigeria,NHA014,blood,ILLUMINA,Illumina MiSeq,WGS,2019,11,09,,,False,Clade C1
1210,SAMN16663521,SRR13001287,2020-01-16,2020-01-16,2020-01-16,Nigeria,NHA048,urine,ILLUMINA,Illumina MiSeq,WGS,2020,01,16,,,False,Clade C1
1211,SAMN16663515,SRR13001322,2019-07-18,2019-07-17,2019-07-18,Nigeria,NHA042,cerebrospinal fluid,ILLUMINA,Illumina MiSeq,WGS,2019,07,18,,,False,Clade C1
1212,SAMN16663514,SRR13001323,2019-07-18,2019-07-17,2019-07-18,Nigeria,NHA041,urine,ILLUMINA,Illumina MiSeq,WGS,2019,07,18,,,False,Clade C1
1213,SAMN12731502,SRR10233162,2012-03-02,2012-03-02,2012-03-02,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2012,03,02,,,False,Clade C1
1214,SAMN12731514,SRR10233479,2012-08-01,2012-07-31,2012-08-01,Canada: Quebec,,blood,ILLUMINA,Illumina MiSeq,WGS,2012,08,01,,,False,Clade C1
1215,SAMN12731516,SRR10233481,2012-02-04,2012-02-04,2012-02-04,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2012,02,04,,,False,Clade C1
1216,SAMN12731535,SRR10233530,2013-01-10,2013-01-10,2013-01-10,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2013,01,10,,,False,Clade C1
1217,SAMN12731529,SRR10233534,2013-01-15,2013-01-15,2013-01-15,Canada: Ontario,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2013,01,15,,,False,Clade C1
1218,SAMN16707778,SRR13009670,2019-06-07,2019-06-06,2019-06-07,"Czech Republic: University Hospital Brno, Brno",,rectum,ILLUMINA,Illumina MiSeq,WGS,2019,06,07,,,False,Clade C1
1219,SAMN12731541,SRR10235842,2013-01-07,2013-01-07,2013-01-07,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2013,01,07,,,False,Clade C1
1220,SAMN12731549,SRR10235843,2013-03-03,2013-03-03,2013-03-03,Canada: British Columbia,,blood,ILLUMINA,Illumina MiSeq,WGS,2013,03,03,,,False,Clade C1
1221,SAMN12731557,SRR10235846,2013-06-09,2013-06-08,2013-06-09,Canada: New Brunswick,,blood,ILLUMINA,Illumina MiSeq,WGS,2013,06,09,,,False,Clade C1
