,sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read,clade
2165,SAMN23768682,SRR17179335,2019-10/2020-09,2019-09-30,2020-09-30,Ethiopia: Dessie,Not appllicable,Human blood sample,ILLUMINA,Illumina HiSeq 2500,WGS,2019,10/2020,09,,,False,Clade C1
2166,SAMN23768680,SRR17179345,2019-10/2020-09,2019-09-30,2020-09-30,Ethiopia: Addis Ababa,Not appllicable,Human blood sample,ILLUMINA,Illumina HiSeq 2500,WGS,2019,10/2020,09,,,False,Clade C1
2167,SAMN17372951,SRR13608624,2019-09-10,2019-09-09,2019-09-10,United Kingdom,JJ1886,,ILLUMINA,Illumina HiSeq 2500,WGS,2019,09,10,,,False,Clade C0
2168,SAMN17372950,SRR13608631,2018-12-01,2018-12-01,2018-12-01,United Kingdom,JJ1886,,ILLUMINA,Illumina HiSeq 2500,WGS,2018,12,01,,,False,Clade C0
2169,SAMN23768671,SRR17179365,2019-10/2020-09,2019-09-30,2020-09-30,Ethiopia: Addis Ababa,Not appllicable,Human blood sample,ILLUMINA,Illumina HiSeq 2500,WGS,2019,10/2020,09,,,False,Clade C1
2170,SAMN23844077,SRR17192427,2018-05-02,2018-05-01,2018-05-02,Madagascar: Antananarivo,,,ILLUMINA,NextSeq 500,WGS,2018,05,02,,,False,Clade A
2171,SAMN23844125,SRR17192471,2018-07-24,2018-07-23,2018-07-24,Madagascar: Antananarivo,,,ILLUMINA,NextSeq 500,WGS,2018,07,24,,,False,Clade A
2172,SAMN23844332,SRR17192561,2018-05-09,2018-05-08,2018-05-09,Madagascar: Antananarivo,,,ILLUMINA,NextSeq 500,WGS,2018,05,09,,,False,Clade A
2173,SAMN23844331,SRR17192562,2018-05-09,2018-05-08,2018-05-09,Madagascar: Antananarivo,,,ILLUMINA,NextSeq 500,WGS,2018,05,09,,,False,Clade A
2174,SAMN23844330,SRR17192563,2018-05-09,2018-05-08,2018-05-09,Madagascar: Antananarivo,,,ILLUMINA,NextSeq 500,WGS,2018,05,09,,,False,Clade A
2175,SAMN23844329,SRR17192564,2018-05-09,2018-05-08,2018-05-09,Madagascar: Antananarivo,,,ILLUMINA,NextSeq 500,WGS,2018,05,09,,,False,Clade A
2176,SAMN17769403,SRR13628063,2020-12-11,2020-12-11,2020-12-11,USA:IA,20IA12PC09-EC,pork chop,ILLUMINA,Illumina MiSeq,WGS,2020,12,11,IA,7.0,False,Clade B
2177,SAMN12731273,SRR10100557,2007-02-28,2007-02-28,2007-02-28,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2007,02,28,,,False,Clade C1
2178,SAMN12731279,SRR10100558,2007-02-07,2007-02-07,2007-02-07,Canada: Quebec,,urine,ILLUMINA,Illumina MiSeq,WGS,2007,02,07,,,False,Clade C1
2179,SAMN12731283,SRR10103885,2007-05-11,2007-05-10,2007-05-11,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2007,05,11,,,False,Clade C1
2180,SAMN12731291,SRR10103888,2007-07-04,2007-07-03,2007-07-04,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2007,07,04,,,False,Clade C1
2181,SAMN12731307,SRR10106479,2008-01-03,2008-01-03,2008-01-03,Canada: Manitoba,,urine,ILLUMINA,Illumina MiSeq,WGS,2008,01,03,,,False,Unassigned
2182,SAMN12731334,SRR10115841,2008-03-15,2008-03-15,2008-03-15,Canada: Alberta,,blood,ILLUMINA,Illumina MiSeq,WGS,2008,03,15,,,False,Clade C1
2183,SAMN12731340,SRR10115843,2008-01-07,2008-01-07,2008-01-07,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2008,01,07,,,False,Clade C1
2184,SAMN12731324,SRR10115849,2008-01-05,2008-01-05,2008-01-05,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2008,01,05,,,False,Clade C1
2185,SAMN24198993,SRR17269283,2021-12,2021-12-01,2021-12-31,United Kingdom: United Kingdom,1547584,human,ILLUMINA,Illumina HiSeq 2500,WGS,2021,12,,,,False,Clade C1
2186,SAMN12731356,SRR10137681,2008-09-06,2008-09-05,2008-09-06,Canada: Manitoba,,blood,ILLUMINA,Illumina MiSeq,WGS,2008,09,06,,,False,Clade C1
2187,SAMN12731362,SRR10137682,2008-11-03,2008-11-03,2008-11-03,Canada: British Columbia,,blood,ILLUMINA,Illumina MiSeq,WGS,2008,11,03,,,False,Clade C1
2188,SAMN12731353,SRR10137686,2008-06-08,2008-06-07,2008-06-08,Canada: Alberta,,blood,ILLUMINA,Illumina MiSeq,WGS,2008,06,08,,,False,Clade C1
2189,SAMN12731385,SRR10153068,2009-06-17,2009-06-16,2009-06-17,Canada: Nova Scotia,,urine,ILLUMINA,Illumina MiSeq,WGS,2009,06,17,,,False,Clade C1
2190,SAMN12731388,SRR10153069,2009-02-16,2009-02-16,2009-02-16,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2009,02,16,,,False,Clade C1
2191,SAMN12731393,SRR10153072,2009-07-14,2009-07-13,2009-07-14,Canada: Nova Scotia,,wound,ILLUMINA,Illumina MiSeq,WGS,2009,07,14,,,False,Clade C1
2192,SAMN24018888,SRR17302083,2016-04-29,2016-04-28,2016-04-29,United Kingdom,256986,,ILLUMINA,Illumina HiSeq 2500,WGS,2016,04,29,,,False,Clade C1
2193,SAMN24019554,SRR17302209,2015-01-09,2015-01-09,2015-01-09,United Kingdom,88513,,ILLUMINA,Illumina HiSeq 2500,WGS,2015,01,09,,,False,Clade C1
2194,SAMN24019506,SRR17302261,2016-04-24,2016-04-23,2016-04-24,United Kingdom,253849,,ILLUMINA,Illumina HiSeq 2500,WGS,2016,04,24,,,False,Clade C1
2195,SAMN24018844,SRR17302564,2014-09-29,2014-09-28,2014-09-29,United Kingdom,67625,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,09,29,,,False,Clade B
2196,SAMN24020576,SRR17303758,2015-09-30,2015-09-29,2015-09-30,United Kingdom,179599,,ILLUMINA,Illumina HiSeq 2500,WGS,2015,09,30,,,False,Clade C1
2197,SAMN17807574,SRR13766710,2019-02,2019-02-01,2019-02-28,Singapore,36EC,feces,ILLUMINA,HiSeq X Ten,WGS,2019,02,,,,False,Clade C1
2198,SAMN24020895,SRR17304036,2014-12-16,2014-12-16,2014-12-16,United Kingdom,80459,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,12,16,,,False,Clade C1
2199,SAMN12731402,SRR10155248,2009-11-01,2009-11-01,2009-11-01,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2009,11,01,,,False,Clade C1
2200,SAMN24021047,SRR17304467,2015-12-02,2015-12-02,2015-12-02,United Kingdom,199898,,ILLUMINA,Illumina HiSeq 2500,WGS,2015,12,02,,,False,Clade C1
2201,SAMN12731412,SRR10163892,2010-01-05,2010-01-05,2010-01-05,Canada: Manitoba,,urine,ILLUMINA,Illumina MiSeq,WGS,2010,01,05,,,False,Clade C1
2202,SAMN24297151,SRR17308511,2015-02-12,2015-02-12,2015-02-12,United Kingdom,93400,,ILLUMINA,Illumina HiSeq 2500,WGS,2015,02,12,,,False,Clade B
2203,SAMN24297410,SRR17308787,2014-05-21,2014-05-20,2014-05-21,United Kingdom,20879,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,05,21,,,False,Unassigned
2204,SAMN24297210,SRR17308849,2015-10-13,2015-10-12,2015-10-13,United Kingdom,190725,,ILLUMINA,Illumina HiSeq 2500,WGS,2015,10,13,,,False,Clade C1
2205,SAMN24297196,SRR17308864,2016-04-18,2016-04-17,2016-04-18,United Kingdom,260227,,ILLUMINA,Illumina HiSeq 2500,WGS,2016,04,18,,,False,Clade A
2206,SAMN12731429,SRR10168050,2010-02-09,2010-02-09,2010-02-09,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2010,02,09,,,False,Clade C1
2207,SAMN12731441,SRR10168055,2010-10-03,2010-10-02,2010-10-03,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2010,10,03,,,False,Clade C1
2208,SAMN12731450,SRR10173684,2011-01-11,2011-01-11,2011-01-11,Canada: British Columbia,,urine,ILLUMINA,Illumina MiSeq,WGS,2011,01,11,,,False,Clade C1
2209,SAMN18104156,SRR13823690,2016-05-17,2016-05-16,2016-05-17,France: Port-Saint-Louis,Ec49,cloacal swab,ILLUMINA,NextSeq 500,WGS,2016,05,17,,,False,Clade A
2210,SAMN18104145,SRR13823703,2016-05-17,2016-05-16,2016-05-17,France: Port-Saint-Louis,Ec27,cloacal swab,ILLUMINA,NextSeq 500,WGS,2016,05,17,,,False,Clade C1
2211,SAMN24467893,SRR17349243,2019-11,2019-11-01,2019-11-30,Chile,UAB-CV-459,Parsley,ILLUMINA,NextSeq 500,WGS,2019,11,,,,False,Clade C1
2212,SAMN24467887,SRR17349249,2019-12,2019-12-01,2019-12-31,Chile,UAB-CD-124,river water,ILLUMINA,NextSeq 500,WGS,2019,12,,,,False,Clade C1
2213,SAMN12731481,SRR10203577,2011-08-10,2011-08-09,2011-08-10,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2011,08,10,,,False,Clade C1
2214,SAMN12731491,SRR10207199,2012-02-12,2012-02-12,2012-02-12,Canada: Quebec,,blood,ILLUMINA,Illumina MiSeq,WGS,2012,02,12,,,False,Clade C1
2215,SAMN18103575,SRR13843906,2009-06-16,2009-06-15,2009-06-16,Australia: Orange,,urine,ILLUMINA,Illumina HiSeq 2500,WGS,2009,06,16,,,False,Clade C1
2216,SAMN18103573,SRR13843908,2010-12-03,2010-12-03,2010-12-03,Australia: Orange,,urine,ILLUMINA,Illumina HiSeq 2500,WGS,2010,12,03,,,False,Clade C1
2217,SAMN18103572,SRR13843909,2010-06-08,2010-06-07,2010-06-08,Australia: Orange,,urine,ILLUMINA,Illumina HiSeq 2500,WGS,2010,06,08,,,False,Clade A
2218,SAMN18103571,SRR13843913,2010-01-08,2010-01-08,2010-01-08,Australia: Orange,,urine,ILLUMINA,Illumina HiSeq 2500,WGS,2010,01,08,,,False,Clade C1
2219,SAMN18103584,SRR13843918,2010-03-11,2010-03-11,2010-03-11,Australia: Orange,,urine,ILLUMINA,Illumina HiSeq 2500,WGS,2010,03,11,,,False,Clade B
2220,SAMN18103581,SRR13843921,2009-08-07,2009-08-06,2009-08-07,Australia: Orange,,urine,ILLUMINA,Illumina HiSeq 2500,WGS,2009,08,07,,,False,Unassigned
2221,SAMN18103580,SRR13843922,2010-09-03,2010-09-02,2010-09-03,Australia: Orange,,urine,ILLUMINA,Illumina HiSeq 2500,WGS,2010,09,03,,,False,Clade C1
2222,SAMN18103579,SRR13843923,2010-02-02,2010-02-02,2010-02-02,Australia: Orange,,urine,ILLUMINA,Illumina HiSeq 2500,WGS,2010,02,02,,,False,Clade B
2223,SAMN24669209,SRR17460709,2018-04-18,2018-04-17,2018-04-18,France: Reunion island,Missing,WWTP inflow Grand Prado,ILLUMINA,NextSeq 550,WGS,2018,04,18,,,False,Clade A
2224,SAMN24669518,SRR17460725,2018-09-09,2018-09-08,2018-09-09,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,09,09,,,False,Clade C1
2225,SAMN24669514,SRR17460729,2018-09-01,2018-08-31,2018-09-01,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,09,01,,,False,Clade A
2226,SAMN24669512,SRR17460732,2018-08-05,2018-08-04,2018-08-05,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,08,05,,,False,Clade A
2227,SAMN24669249,SRR17460736,2018-08-21,2018-08-20,2018-08-21,France: Reunion island,Missing,WW Barachois,ILLUMINA,NextSeq 550,WGS,2018,08,21,,,False,Clade C1
2228,SAMN24669320,SRR17460825,2019-02-26,2019-02-26,2019-02-26,France: Reunion island,Missing,WWTP inflow Grand Prado,ILLUMINA,NextSeq 550,WGS,2019,02,26,,,False,Clade C1
2229,SAMN24669299,SRR17460848,2018-12-05,2018-12-05,2018-12-05,France: Reunion island,Missing,WW Barachois,ILLUMINA,NextSeq 550,WGS,2018,12,05,,,False,Unassigned
2230,SAMN24669547,SRR17460861,2019-01-03,2019-01-03,2019-01-03,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2019,01,03,,,False,Clade A
2231,SAMN24669545,SRR17460863,2018-12-03,2018-12-03,2018-12-03,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,12,03,,,False,Unassigned
2232,SAMN24669544,SRR17460864,2018-12-22,2018-12-22,2018-12-22,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,12,22,,,False,Clade A
2233,SAMN24669538,SRR17460871,2018-12-11,2018-12-11,2018-12-11,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,12,11,,,False,Clade C1
2234,SAMN24669536,SRR17460873,2018-11-05,2018-11-05,2018-11-05,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,11,05,,,False,Clade C1
2235,SAMN24669533,SRR17460876,2018-11-06,2018-11-06,2018-11-06,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,11,06,,,False,Clade A
2236,SAMN24669290,SRR17460882,2018-11-27,2018-11-27,2018-11-27,France: Reunion island,Missing,WW Vallon-Hoarau,ILLUMINA,NextSeq 550,WGS,2018,11,27,,,False,Clade A
2237,SAMN24669288,SRR17460884,2018-11-27,2018-11-27,2018-11-27,France: Reunion island,Missing,WW Vallon-Hoarau,ILLUMINA,NextSeq 550,WGS,2018,11,27,,,False,Clade A
2238,SAMN24669500,SRR17460986,2018-07-27,2018-07-26,2018-07-27,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,07,27,,,False,Clade C1
2239,SAMN24669498,SRR17460988,2018-07-11,2018-07-10,2018-07-11,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,07,11,,,False,Clade C1
2240,SAMN24669493,SRR17460993,2018-06-18,2018-06-17,2018-06-18,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,06,18,,,False,Clade C1
2241,SAMN24669484,SRR17461003,2018-06-04,2018-06-03,2018-06-04,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,06,04,,,False,Clade C1
2242,SAMN24669482,SRR17461006,2018-06-08,2018-06-07,2018-06-08,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,06,08,,,False,Clade C1
2243,SAMN24669481,SRR17461007,2018-05-23,2018-05-22,2018-05-23,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,05,23,,,False,Clade C1
2244,SAMN24669478,SRR17461010,2018-05-15,2018-05-14,2018-05-15,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,05,15,,,False,Clade C1
2245,SAMN24669475,SRR17461013,2018-05-07,2018-05-06,2018-05-07,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,05,07,,,False,Clade A
2246,SAMN24669473,SRR17461015,2018-04-28,2018-04-27,2018-04-28,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,04,28,,,False,Clade C1
2247,SAMN24669557,SRR17461043,2019-02-09,2019-02-09,2019-02-09,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2019,02,09,,,False,Clade A
2248,SAMN24669555,SRR17461045,2018-12-10,2018-12-10,2018-12-10,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,12,10,,,False,Clade C1
2249,SAMN24669463,SRR17461051,2018-04-01,2018-03-31,2018-04-01,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,04,01,,,False,Unassigned
2250,SAMN24669462,SRR17461053,2018-03-20,2018-03-20,2018-03-20,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,03,20,,,False,Clade C1
2251,SAMN24669454,SRR17461061,2018-03-05,2018-03-05,2018-03-05,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,03,05,,,False,Clade C1
2252,SAMN24669453,SRR17461062,2018-03-01,2018-03-01,2018-03-01,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,03,01,,,False,Clade A
2253,SAMN24669440,SRR17461077,2018-02-11,2018-02-11,2018-02-11,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,02,11,,,False,Clade C1
2254,SAMN24669430,SRR17461088,2018-01-18,2018-01-18,2018-01-18,France: Reunion island,Missing,missing,ILLUMINA,NextSeq 550,WGS,2018,01,18,,,False,Clade C1
2255,SAMN12731499,SRR10233156,2012-01-01,2012-01-01,2012-01-01,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2012,01,01,,,False,Clade C1
2256,SAMN12731507,SRR10233159,2012-02-27,2012-02-27,2012-02-27,Canada: New Brunswick,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2012,02,27,,,False,Clade C1
2257,SAMN12731509,SRR10233164,2012-08-08,2012-08-07,2012-08-08,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2012,08,08,,,False,Clade C1
2258,SAMN12731497,SRR10233165,2012-05-02,2012-05-01,2012-05-02,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2012,05,02,,,False,Clade C1
2259,SAMN12731515,SRR10233478,2012-08-06,2012-08-05,2012-08-06,Canada: New Brunswick,,blood,ILLUMINA,Illumina MiSeq,WGS,2012,08,06,,,False,Clade C1
2260,SAMN12731511,SRR10233482,2012-10-04,2012-10-03,2012-10-04,Canada: Manitoba,,blood,ILLUMINA,Illumina MiSeq,WGS,2012,10,04,,,False,Clade C1
2261,SAMN12731538,SRR10233533,2013-03-02,2013-03-02,2013-03-02,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2013,03,02,,,False,Clade C1
2262,SAMN12731531,SRR10233536,2013-02-02,2013-02-02,2013-02-02,Canada: British Columbia,,blood,ILLUMINA,Illumina MiSeq,WGS,2013,02,02,,,False,Clade C1
2263,SAMN12731530,SRR10233537,2013-01-10,2013-01-10,2013-01-10,Canada: British Columbia,,urine,ILLUMINA,Illumina MiSeq,WGS,2013,01,10,,,False,Clade C1
2264,SAMN12731540,SRR10235844,2013-02-07,2013-02-07,2013-02-07,Canada: Ontario,,wound,ILLUMINA,Illumina MiSeq,WGS,2013,02,07,,,False,Clade C1
2265,SAMN12731547,SRR10235847,2013-02-04,2013-02-04,2013-02-04,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2013,02,04,,,False,Clade C1
2266,SAMN12731574,SRR10235870,2013-05-10,2013-05-09,2013-05-10,Canada: Ontario,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2013,05,10,,,False,Clade C1
2267,SAMN12731565,SRR10235871,2013-09-02,2013-09-01,2013-09-02,Canada: Alberta,,blood,ILLUMINA,Illumina MiSeq,WGS,2013,09,02,,,False,Clade C1
2268,SAMN12731562,SRR10235872,2013-08-01,2013-07-31,2013-08-01,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2013,08,01,,,False,Clade C1
2269,SAMN12731575,SRR10235873,2013-05-10,2013-05-09,2013-05-10,Canada: Ontario,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2013,05,10,,,False,Clade C1
2270,SAMN12731561,SRR10235877,2013-07-03,2013-07-02,2013-07-03,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2013,07,03,,,False,Clade C1
2271,SAMN12731578,SRR10236245,2013-09-02,2013-09-01,2013-09-02,Canada: British Columbia,,blood,ILLUMINA,Illumina MiSeq,WGS,2013,09,02,,,False,Clade C1
2272,SAMN12731589,SRR10236247,2014-02-20,2014-02-20,2014-02-20,Canada: Manitoba,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2014,02,20,,,False,Clade C1
2273,SAMN12731586,SRR10236250,2013-07-02,2013-07-01,2013-07-02,Canada: Quebec,,blood,ILLUMINA,Illumina MiSeq,WGS,2013,07,02,,,False,Clade C1
2274,SAMN12731579,SRR10236251,2013-04-04,2013-04-03,2013-04-04,Canada: Quebec,,blood,ILLUMINA,Illumina MiSeq,WGS,2013,04,04,,,False,Clade C1
2275,SAMN18202037,SRR13874725,2013-02-15,2013-02-15,2013-02-15,"USA: Boston, MA",RB057,missing,ILLUMINA,Illumina MiSeq,WGS,2013,02,15,MA,1.0,False,Clade C1
2276,SAMN24745768,SRR17518378,2021-08,2021-07-31,2021-08-31,USA:OK,ECOL-21-VL-SD-OK-0029,Uterus(Canis lupus familiaris),ILLUMINA,Illumina MiSeq,WGS,2021,08,,OK,6.0,False,Clade A
2277,SAMN12731604,SRR10237152,2014-01-16,2014-01-16,2014-01-16,Canada: British Columbia,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2014,01,16,,,False,Clade C1
2278,SAMN12731606,SRR10237158,2014-01-20,2014-01-20,2014-01-20,Canada: British Columbia,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2014,01,20,,,False,Clade C1
2279,SAMN12731605,SRR10237159,2014-01-19,2014-01-19,2014-01-19,Canada: British Columbia,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2014,01,19,,,False,Clade C1
2280,SAMN12731621,SRR10237191,2014-02-09,2014-02-09,2014-02-09,Canada: Ontario,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2014,02,09,,,False,Clade C1
2281,SAMN12731614,SRR10237192,2014-03-19,2014-03-19,2014-03-19,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2014,03,19,,,False,Clade C1
2282,SAMN12731620,SRR10237198,2014-02-08,2014-02-08,2014-02-08,Canada: Ontario,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2014,02,08,,,False,Clade C1
2283,SAMN12731634,SRR10237895,2014-07-17,2014-07-16,2014-07-17,Canada: Ontario,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2014,07,17,,,False,Clade C1
2284,SAMN12731635,SRR10237896,2014-07-03,2014-07-02,2014-07-03,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2014,07,03,,,False,Clade C1
2285,SAMN12731646,SRR10237900,2014-06-02,2014-06-01,2014-06-02,Canada: Alberta,,blood,ILLUMINA,Illumina MiSeq,WGS,2014,06,02,,,False,Clade C1
2286,SAMN12731643,SRR10237903,2014-08-31,2014-08-30,2014-08-31,Canada: Quebec,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2014,08,31,,,False,Clade C1
2287,SAMN12731658,SRR10241431,2015-01-03,2015-01-03,2015-01-03,Canada: Manitoba,,urine,ILLUMINA,Illumina MiSeq,WGS,2015,01,03,,,False,Unassigned
2288,SAMN12731661,SRR10241433,2015-01-02,2015-01-02,2015-01-02,Canada: Manitoba,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,01,02,,,False,Clade C1
2289,SAMN12731659,SRR10241438,2015-01-01,2015-01-01,2015-01-01,Canada: Manitoba,,urine,ILLUMINA,Illumina MiSeq,WGS,2015,01,01,,,False,Clade C1
2290,SAMN12731664,SRR10244688,2015-02-02,2015-02-02,2015-02-02,Canada: Manitoba,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,02,02,,,False,Clade C1
2291,SAMN12731670,SRR10244689,2015-01-12,2015-01-12,2015-01-12,Canada: British Columbia,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2015,01,12,,,False,Clade C1
2292,SAMN12731681,SRR10251227,2015-01-03,2015-01-03,2015-01-03,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,01,03,,,False,Clade C1
2293,SAMN12731689,SRR10255007,2015-02-15,2015-02-15,2015-02-15,Canada: Alberta,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2015,02,15,,,False,Clade C1
2294,SAMN12731682,SRR10255009,2015-04-02,2015-04-01,2015-04-02,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,04,02,,,False,Clade C1
2295,SAMN12731684,SRR10255012,2015-02-13,2015-02-13,2015-02-13,Canada: Nova Scotia,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2015,02,13,,,False,Clade C1
2296,SAMN18318593,SRR13976575,2021-02,2021-02-01,2021-02-28,USA:CT,21CT02GT07-EC,turkey,ILLUMINA,Illumina MiSeq,WGS,2021,02,,CT,1.0,False,Clade B
2297,SAMN12731692,SRR10257665,2015-04-01,2015-03-31,2015-04-01,Canada: British Columbia,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,04,01,,,False,Clade C1
2298,SAMN12731699,SRR10257666,2015-06-05,2015-06-04,2015-06-05,Canada: New Brunswick,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2015,06,05,,,False,Clade B
2299,SAMN12731697,SRR10257667,2015-04-05,2015-04-04,2015-04-05,Canada: Quebec,,urine,ILLUMINA,Illumina MiSeq,WGS,2015,04,05,,,False,Clade C1
2300,SAMN12731712,SRR10267333,2015-10-05,2015-10-04,2015-10-05,Canada: Alberta,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,10,05,,,False,Clade C1
2301,SAMN12731711,SRR10267336,2015-08-06,2015-08-05,2015-08-06,Canada: Quebec,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,08,06,,,False,Clade B
2302,SAMN12731719,SRR10269946,2015-09-15,2015-09-14,2015-09-15,Canada: Quebec,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2015,09,15,,,False,Clade C1
2303,SAMN12731724,SRR10269952,2015-08-01,2015-07-31,2015-08-01,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,08,01,,,False,Clade C1
2304,SAMN13023738,SRR10271480,2015-04-15,2015-04-14,2015-04-15,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2015,04,15,,,False,Clade C1
2305,SAMN13023744,SRR10271487,2014-06-24,2014-06-23,2014-06-24,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2014,06,24,,,False,Clade C1
2306,SAMN13024307,SRR10271923,2013-07-13,2013-07-12,2013-07-13,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2013,07,13,,,False,Clade C1
2307,SAMN13024688,SRR10272024,2013-02-26,2013-02-26,2013-02-26,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2013,02,26,,,False,Clade C1
2308,SAMN13023990,SRR10272118,2014-11-16,2014-11-16,2014-11-16,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2014,11,16,,,False,Clade A
2309,SAMN13024095,SRR10272251,2015-02-01,2015-02-01,2015-02-01,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2015,02,01,,,False,Clade B
2310,SAMN13024100,SRR10272256,2013-09-17,2013-09-16,2013-09-17,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2013,09,17,,,False,Clade B
2311,SAMN13024121,SRR10272277,2013-03-15,2013-03-15,2013-03-15,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2013,03,15,,,False,Clade A
2312,SAMN13024574,SRR10272282,2015-04-27,2015-04-26,2015-04-27,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2015,04,27,,,False,Clade A
