sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read
SAMN10487592,SRR8359561,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487595,SRR8359568,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487607,SRR8359578,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487609,SRR8359584,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487628,SRR8359585,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113 RecA knockout,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487629,SRR8359586,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113 RecA knockout,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN10487641,SRR8359588,2017-09,2017-08-31,2017-09-30,Australia:Sydney,BW25113 RecA knockout,Laboratory stock,ILLUMINA,Illumina HiSeq 4000,WGS,2017,09,,,,False
SAMN03997186,SRR8360281,1994-07,1994-06-30,1994-07-31,USA:OR,NMSU-00152,missing,ILLUMINA,Illumina MiSeq,WGS,1994,07,,OR,10.0,False
SAMN10839983,SRR8502304,2015-07-05,2015-07-04,2015-07-05,United Kingdom,,river water,ILLUMINA,Illumina MiSeq,WGS,2015,07,05,,,False
SAMN11043556,SRR8656986,2019-02,2019-02-01,2019-02-28,United Kingdom: United Kingdom,693379,human,ILLUMINA,Illumina HiSeq 2500,WGS,2019,02,,,,False
SAMN06555274,SRR5336306,2002-06-20,2002-06-19,2002-06-20,Mexico,MOD1-EC5327,pork,ILLUMINA,NextSeq 500,WGS,2002,06,20,,,False
SAMN12230991,SRR9671404,2019-04,2019-03-31,2019-04-30,United Kingdom: Cambridge,Fis05Mb,missing,ILLUMINA,Illumina MiSeq,WGS,2019,04,,,,False
SAMN12347833,SRR9822635,2015-10,2015-09-30,2015-10-31,Nigeria,,,ILLUMINA,NextSeq 500,WGS,2015,10,,,,False
SAMN12347831,SRR9822638,2015-10,2015-09-30,2015-10-31,Nigeria,,,ILLUMINA,NextSeq 500,WGS,2015,10,,,,False
SAMN06630189,SRR5368044,2014-11-19,2014-11-19,2014-11-19,United Kingdom: Manchester,,Rectal screen,ILLUMINA,Illumina HiSeq 2000,WGS,2014,11,19,,,False
